Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Object Repository/How it Works-footer/Page_Chiragh/div_Seller  Buyer Process""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:18:41,2018-12-31 13:18:41,0.036s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:18:41,2018-12-31 13:18:42,0.779s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:18:42,2018-12-31 13:18:42,0.006s,PASSED
,,,,,,
Test Cases/footer/Privacy Policy-footer,Chrome 71.0.3578.98,,2018-12-31 13:18:42,2018-12-31 13:19:07,24.993s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:18:42,2018-12-31 13:18:45,2.229s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:18:45,2018-12-31 13:18:59,14.263s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:18:59,2018-12-31 13:19:00,1.173s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:19:00,2018-12-31 13:19:03,3.003s,PASSED
"click(findTestObject(""Object Repository/Privacy Policy/Page_Chiragh/a_Privacy Policy""))",Chrome 71.0.3578.98,,2018-12-31 13:19:03,2018-12-31 13:19:03,0.140s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:19:03,2018-12-31 13:19:06,3.005s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Privacy Policy/Page_Chiragh/div_Privacy Policy""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:19:06,2018-12-31 13:19:06,0.088s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:19:06,2018-12-31 13:19:07,0.821s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:19:07,2018-12-31 13:19:07,0.006s,PASSED
,,,,,,
Test Cases/footer/repurchase-footer,Chrome 71.0.3578.98,,2018-12-31 13:19:07,2018-12-31 13:19:30,23.165s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:19:07,2018-12-31 13:19:10,2.354s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:19:10,2018-12-31 13:19:22,12.202s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:19:22,2018-12-31 13:19:23,1.172s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:19:23,2018-12-31 13:19:26,3.003s,PASSED
"click(findTestObject(""Object Repository/repurchase-footer/Page_Chiragh/a_-Repurchase""))",Chrome 71.0.3578.98,,2018-12-31 13:19:26,2018-12-31 13:19:26,0.174s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:19:26,2018-12-31 13:19:29,3.003s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/repurchase-footer/Page_Chiragh/div_BUY BACK OR REPURCHASE AGR_1""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:19:29,2018-12-31 13:19:29,0.072s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:19:29,2018-12-31 13:19:30,0.879s,PASSED
